Name,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,SAT Critical Reading 25th percentile score,SAT Critical Reading 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,SAT Writing 25th percentile score,SAT Writing 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score
Alabama A & M University,6142,5521,1104,15,88,370,450,350,450,,,15,19
University of Alabama at Birmingham,5689,4934,1773,6,93,520,640,520,650,,,22,28
Amridge University,,,,,,,,,,,,,
University of Alabama in Huntsville,2054,1656,651,34,94,510,640,510,650,,,23,29
Alabama State University,10245,5251,1479,18,87,380,480,370,480,,,15,19
The University of Alabama,30975,17515,6454,23,76,490,620,500,640,480,600,22,30
Athens State University,,,,,,,,,,,,,
Auburn University at Montgomery,1958,1639,579,0,54,,,,,,,18,23
Auburn University,15745,13027,3726,17,83,520,620,540,650,510,620,24,30
Birmingham Southern College,1931,1240,356,32,82,520,630,520,640,,,23,29
Concordia College Alabama,,,,,,,,,,,,,
Faulkner University,,,,,,,,,,,,,
Huntingdon College,1470,923,261,16,93,420,500,420,540,,,19,24
Jacksonville State University,3083,2567,1158,18,89,430,540,420,540,,,19,26
Judson College,268,198,68,10,94,550,640,500,600,530,610,19,24
University of West Alabama,462,460,380,0,100,,,,,,,18,22
Miles College,,,,,,,,,,,,,
University of Mobile,866,617,259,13,87,470,610,470,680,,,20,25
University of Montevallo,1385,1209,531,3,96,495,613,465,550,440,580,20,26
University of North Alabama,2542,2057,970,3,96,413,565,433,530,,,19,25
Oakwood University,2728,937,409,47,58,410,513,400,510,,,17,22
Samford University,3447,2653,765,36,84,500,630,510,610,500,610,23,28
University of South Alabama,4814,4142,1878,8,92,440,550,435,565,420,520,20,26
Spring Hill College,6596,3052,431,20,92,480,600,480,600,480,610,21,27
Stillman College,4121,1772,257,6,59,350,450,383,438,,,17,20
Talladega College,,,,,,,,,,,,,
Troy University,5946,4056,2087,7,38,,,,,,,18,24
Tuskegee University,10022,3519,650,43,75,400,510,400,520,,,18,22
University of Alaska Anchorage,,,,,,,,,,,,,
University of Alaska Fairbanks,,,,,,,,,,,,,
University of Alaska Southeast,,,,,,,,,,,,,
Alaska Pacific University,494,185,33,74,26,465,575,450,510,435,568,20,24
American Indian College of the Assemblies of God Inc,,,,,,,,,,,,,
Arizona State University-Tempe,21770,17465,7171,64,51,500,620,520,650,,,22,28
University of Arizona,26329,20251,7401,66,52,483,600,500,630,480,590,21,27
Embry-Riddle Aeronautical University-Prescott,1689,1334,448,71,53,500,630,540,650,490,600,23,29
Northern Arizona University,33989,31057,4772,64,50,470,580,470,580,450,560,20,25
Ottawa University-Phoenix,,,,,,,,,,,,,
Prescott College,399,291,49,79,21,480,640,420,600,490,580,22,30
Arizona Christian University,344,209,90,39,57,440,580,455,600,,,20,25
University of Arkansas at Little Rock,1443,761,667,3,82,360,480,410,480,,,20,27
Arkansas Baptist College,,,,,,,,,,,,,
Lyon College,1309,772,174,9,95,470,600,540,610,460,600,22,28
University of Arkansas,18908,11076,4339,27,91,500,600,520,630,,,23,28
University of Arkansas at Pine Bluff,4094,1134,568,6,94,330,430,348,493,340,430,15,20
Arkansas State University-Main Campus,4838,3653,1619,1,95,410,515,458,548,413,478,21,26
Arkansas Tech University,3847,3271,1755,1,84,370,490,410,520,370,490,18,25
University of Arkansas at Monticello,,,,,,,,,,,,,
University of Central Arkansas,3659,3292,2157,0,97,,,,,,,20,26
Central Baptist College,540,292,129,3,85,430,590,470,670,430,620,18,23
Harding University,2180,1663,1041,29,87,490,630,500,620,,,22,28
Henderson State University,3350,2084,704,3,94,460,538,490,590,,,19,24
Hendrix College,1928,1550,436,45,82,530,680,540,650,,,26,32
John Brown University,1143,798,305,30,82,500,640,505,640,490,610,22,28
Ouachita Baptist University,1740,1220,394,19,91,440,550,460,580,,,21,27
University of the Ozarks,1061,651,159,16,85,420,550,450,550,,,20,26
Philander Smith College,,,,,,,,,,,,,
Williams Baptist College,531,361,156,6,94,350,430,410,510,,,19,24
Southern Arkansas University Main Campus,2720,1654,663,6,94,410,520,430,590,,,18,24
