AUNbr,Academic Expulsion,Academic OSS,Aggravated Indecent Assault,Arson,Assaults on Staff,Assaults on Students,Assignments to Alternative Education,Attempt or Commission of Murder/Manslaughter,Attempted,BB/Pellet Gun,Bomb Threats,Bullying,Burglary,Committed,Conduct Expulsion,Conduct OSS,County,Criminal Trespass,Cutting Instrument,Cyber Harassment,Disorderly Conduct,Drug and Alcohol Expulsion,Drug and Alcohol OSS,Enrollment,Explosive,Failure of Disorderly Persons to Disperse Upon Official Order,Fighting,Handgun,Ideation,Incidents,Indecent Assault,Indecent Exposure,Institutional Sexual Assault,Involuntary Sexual Deviate Intercourse,Kidnapping/Interference With Custody of Child,LEA Name,LEA Type,Minor Altercation,No. of Incidents Involving Local Law Enforcement,Obscene and other sexual materials and performances,Offenders,Open Lewdness,Other,Other Firearm,Other Harrassment/Intimidation,Other Misconduct,Possession of Other Weapon,Possession of a Firearm,Possession of a Knife,"Possession, Use, or Sale of Tobacco",Possession/Use of a Controlled Substance,Racial/Ethnic Intimidation,Rape,Reckless Endangering,Rifle/Shotgun,Rioting,Robbery,"Sale, Possession, Use, or Under the Influence of Alcohol",Sale/Distribution of a Controlled Substance,School Name,School Number,Sexual Assault,Sexual Harassment,Sexual Offenses,Staff Aggravated,Staff Simple,Stalking,Statutory Sexual Assault,Student Aggravated,Student Simple,Suicide - Attempted,Suicide - Committed,Terroristic Threats,Terroristic Threats (excl bomb threats),Theft,Threatening a School Official/Student,Tobacco Expulsion,Tobacco OSS,Total Arrests,Truancy Rate,Unlawful Restraint,Vandalism,Violence Expulsion,Violence OSS,Weapon Expulsion,Weapon OSS,Year
120481107,0,0,0,0,,,0,0,0,0,0,0,0,0,0,50,Northampton,,0,,2,0,2,1315,1,,3,0,,21,0,,,0,0,Bethlehem AVTS,AVTS,,9,,22,,1,0,5,,,,0,3,2,0,0,0,0,0,0,0,0,Bethlehem AVTS,5286,0,0,,0,0,,,0,2,,,0,,2,0,0,3,4,0,,0,0,14,0,2,2013
110171607,0,0,0,0,,,0,0,0,0,0,0,0,0,0,8,Clearfield,,0,,0,0,1,294,0,,0,0,,4,0,,,0,0,Clearfield County CTC,AVTS,,0,,3,,0,0,0,,,,0,3,1,0,0,0,0,0,0,0,0,Clearfield County CTC,5276,0,0,,0,0,,,0,0,,,0,,0,0,0,2,0,0,,0,0,0,0,0,2013
106161357,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,Clarion,,0,,0,0,0,292,0,,0,0,,3,0,,,0,0,Clarion County Career Center,AVTS,,3,,3,,0,0,1,,,,0,2,0,0,0,0,0,0,0,0,0,Clarion County Career Center,6909,0,0,,0,0,,,0,0,,,0,,0,0,0,0,0,0,,0,0,1,0,0,2013
116191757,0,0,0,0,,,0,0,0,0,0,4,0,0,0,18,Columbia,,0,,0,2,20,625,0,,3,0,,74,0,,,0,0,Columbia-Montour AVTS,AVTS,,34,,67,,0,0,0,,,,1,32,5,0,0,0,1,0,0,14,3,Columbia-Montour AVTS,5178,0,3,,0,0,,,0,1,,,1,,1,0,0,2,31,0.1152,,0,0,12,2,0,2013
101266007,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,Fayette,,0,,0,0,0,240,0,,3,0,,3,0,,,0,0,Connellsville Area Career & Technical Ce,AVTS,,0,,3,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,Connellsville Area Career & Technical Ce,6643,0,0,,0,0,,,0,0,,,0,,0,0,0,0,0,0.1417,,0,0,3,0,0,2013
114067107,0,0,0,0,,,0,0,0,0,0,0,0,0,0,80,Berks,,0,,3,0,2,1041,0,,1,0,,13,0,,,0,0,Reading Muhlenberg CTC,AVTS,,5,,15,,0,0,6,,,,1,0,2,0,0,0,0,0,0,0,0,Reading Muhlenberg CTC,5275,0,0,,0,0,,,0,0,,,0,,1,0,0,0,1,0.1547,,0,0,8,0,1,2013
105201407,0,0,0,0,,,0,0,0,0,0,0,0,0,0,17,Crawford,,0,,0,0,4,549,0,,1,0,,20,0,,,0,0,Crawford County CTC,AVTS,,11,,19,,0,0,0,,,,2,10,2,0,0,0,0,0,0,2,0,Crawford County CTC,5179,0,1,,0,0,,,0,0,,,0,,0,1,0,4,3,0,,0,0,5,0,2,2013
116606707,0,0,0,0,,,0,0,0,0,0,4,0,0,0,0,Union,,0,,0,0,0,273,0,,0,0,,0,0,,,0,0,SUN Area Technical Institute,AVTS,,6,,10,,0,0,0,,,,0,4,0,0,0,0,1,0,0,0,0,SUN Area Technical Institute,5355,0,3,,0,0,,,0,0,,,0,,0,1,0,3,5,0.0256,,0,0,8,0,0,2013
115211657,0,1,0,0,,,0,0,0,0,0,0,0,0,0,25,Cumberland,,0,,0,0,3,920,0,,4,0,,17,0,,,0,0,Cumberland-Perry AVTS,AVTS,,6,,21,,0,0,0,,,,0,6,0,0,0,0,0,0,0,2,0,Cumberland-Perry AVTS,5277,0,0,,0,0,,,0,2,,,0,,0,2,0,2,0,0,,1,0,7,0,0,2013
115221607,0,0,0,0,,,5,0,0,0,0,10,0,0,1,120,Dauphin,,1,,9,1,3,969,0,,12,0,,111,0,,,0,0,Dauphin County Technical School,AVTS,,41,,98,,1,0,27,,,,1,10,1,18,0,0,0,0,0,3,0,Dauphin County Technical School,5278,0,1,,0,0,,,0,0,,,1,,8,8,0,1,22,0.0599,,2,0,77,0,3,2013
