,,,,,,,,,
,Year (Regular Season),Team,Yards Gained,Yards Allowed,Turnover Ratio,Average Roster Age,Opposing Team Win %,PPG,PA
,,,,,,,,,
,2018-2019,Arizona Cardinals,241.6,358.8,-12,26.5,,14.1,26.6
,2018-2019,Atlanta Falcons,389.1,384.5,1,26.9,,25.9,26.4
,2018-2019,Baltimore Ravens,374.9,292.9,-3,26,,24.3,17.9
,2018-2019,Buffalo Bills,298.6,294.1,-5,26.7,,16.8,23.4
,2018-2019,Carolina Panthers,373.2,353.2,1,26.8,,23.5,23.9
,2018-2019,Chicago Bears,343.9,299.7,12,25.7,,26.3,17.7
,2018-2019,Cincinnati Bengals,310.8,413.6,1,25.2,,23,28.4
,2018-2019,Cleveland Browns,368.8,393,7,25.3,,22.4,24.5
,2018-2019,Dallas Cowboys,343.8,329.2,3,25.4,,21.2,20.2
,2018-2019,Denver Broncos,350.1,365.1,7,26,,20.6,21.8
,2018-2019,Detroit Lioms,327.2,335,-5,26.6,,20.2,22.5
,2018-2019,Green Bay Packers,369.1,354.4,0,25.7,,23.5,25
,2018-2019,Houston Texans,362.6,343.1,13,25.6,,25.1,19.8
,2018-2019, Indianapolis Colts,386.2,339.4,2,25.6,,27.1,21.5
,2018-2019,Jacksonville Jaguars,302,311.4,-12,25.5,,15.3,19.8
,2018-2019,Kansas City Chiefs,425.6,405.5,9,25.8,,35.3,26.3
,2018-2019,Los Angeles Chargers,372.6,333.7,1,25.8,,26.8,20.6
,2018-2019,Los Angeles Rams,421.1,358.6,11,25.5,,32.9,24
,2018-2019,Miami Dolphins,289.9,391.1,5,26.5,,19.9,27.1
,2018-2019,Minnesota Vikings,345.6,309.7,0,25.5,,22.5,21.3
,2018-2019,New England Patriots,393.4,359.1,10,26.8,,27.2,20.3
,2018-2019,New Orleans Saints,379.2,349.1,8,26.3,,31.5,22.1
,2018-2019,New York Giants,356.1,371.4,2,26.1,,23.1,25.8
,2018-2019,New York Jets,299.2,380.4,-10,26,,20.8,27.6
,2018-2019,Oakland Raiders,336.2,381.4,-7,27.4,,18.1,29.2
,2018-2019, Philadelphia Eagles,365.3,366.2,-6,25.7,,22.9,21.8
,2018-2019,Pittsburgh Steelers,403.3,327.2,-11,25.9,,26.8,22.5
,2018-2019,San Francisco 49ers,360.6,346.6,-25,25.8,,21.4,27.2
,2018-2019,Seattle Seahawks,353.3,353.3,15,25.7,,26.8,21.7
,2018-2019,Tampa Bay Buccaneers,415.5,383.4,-18,26.1,,24.8,29
,2018-2019,Tennessee Titans,312.4,333.4,-1,26.1,,19.4,18.9
,2018-2019,Washington Redskins,299.7,353.4,7,26.2,,17.6,22.4
